Tugas_Akhir CO2 NETWORK OPTIMIZATION SOLUTION
Project Duration (yrs),30
Captal Recovery Factor (%),2.0
Annual Target Capture (MTCO2/yr),14.6
Annual Actual Capture (MTCO2/yr),14.599999999999998,"If different from Target, there is a limiting constraint - see logs for details"
Annual Storage Amount (MTCO2/yr),14.6
Total Cost ($M/yr),-340.20795292418
Capture Cost ($M/yr),1074.184
Transport Cost ($M/yr),3.8920470758200003
Storage Cost ($M/yr),-1418.2839999999999
""
CO2 CAPTURE SOURCES SOLUTION BREAKDOWN
CO2 Source ID,CO2 Source Name,Capture Amount (MTCO2/yr),Capture Cost ($M/yr)
source_7,Sumsel-5 power station,1.4,95.19999999999999
source_2,Banjarsari power station,1.0,68.72
source_3,Bukit Asam Muara Enim power station,1.6,112.0
source_5,Shenhua Guohua power station,1.6,115.2
source_4,Keban Agung power station,1.4,91.0
source_6,Sumsel-1 power station,2.799999999999999,198.79999999999993
source_1,Bangko Tengah power station,4.8,393.264
""
CO2 STORAGE SINKS SOLUTION BREAKDOWN
CO2 Sink ID,CO2 Sink Name,Storage Amount (MTCO2/yr),Storage Cost ($M/yr)
sink_2,Niru,13.2,-1282.512
sink_1,Ramba,1.4,-135.772
""
CO2 TRANSPORT PIPELINES SOLUTION BREAKDOWN
Start Point,End Point,Length (km),Weight,CO2 Transported (MTCO2/yr),Transport Cost ($M/yr)
TS12,TS6,4.044766351888383,4.050000000000001,13.2,0.14609852064
sink_4,TS14,3.235821016800068,3.24,13.2,0.116878816512
TS14,TS12,10.721304089816064,10.740000000000004,13.2,0.38743163251200013
TS13,source_6,16.055079166063585,16.1,8.8,0.4668948673200001
source_1,source_3,11.66313813554094,11.680000000000005,4.8,0.23058825593600005
TS10,sink_4,12.28138916251957,12.310000000000002,11.6,0.4132207800640001
source_7,sink_1,72.60557518883972,72.75999999999998,1.4,0.8638969132959998
source_6,TS10,0.812889892466655,0.81,11.6,0.027189994464
TS9,sink_4,0.8129518701132022,0.81,1.6,0.009992254284000001
source_4,source_2,6.211949944982667,6.220000000000001,1.4,0.07385155031200001
source_5,TS9,2.4388556103364487,2.43,1.6,0.029976762852000006
source_2,source_3,11.711327452389927,11.680000000000005,2.4,0.16571144364800006
source_3,TS13,21.716489285169317,21.769999999999992,8.8,0.6313230597239998
TS6,sink_2,9.103624461295858,9.120000000000003,13.2,0.32899222425600017
""
